condition,time_sec,luminance_z,visual_change_z,optical_flow_z,histogram_delta_z,cut_event,flash_event,audio_rms_z,audio_derivative_z,cue_on,cue_impulse,cue_value,cue_phase_sin,cue_phase_cos,als_start_pulse_regressor
control,0.0,7.962569196363418,-2.374121843354202,-2.3984113607576503,-1.8546765885578365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
control,0.25,7.962569196363418,-2.374121843354202,-2.3984113607576503,-1.8546765885578365,0.0,0.0,-1.2502200946836814,0.0,0.0,0.0,0.0,0.4999999999999999,0.8660254037844387,1.0
control,0.5,7.962569196363418,-2.374121843354202,-2.3984113607576503,-1.8546765885578365,0.0,0.0,-1.2502200946836814,-0.0093414452721408,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,1.0
control,0.75,0.9582161971259788,12.90968787094697,5.183939092821398,14.39668525732503,1.0,1.0,-1.2502200946836814,-0.0093414452721408,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.0
control,1.0,-3.781818796992452,2.8742420558558743,0.2053199821212796,3.725938612711146,0.0,0.0,-1.2500365505807365,-0.0080880990043271,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.0
control,1.25,1.589136501000289,9.345541452809734,5.710454282091271,25.23092325905812,1.0,1.0,-0.9886658719473976,1.7754501079542715,0.0,0.0,0.0,0.5000000000000003,-0.8660254037844385,0.0
control,1.5,1.6543296892607475,0.8698701282809215,0.9837406531875454,0.5875247262617613,0.0,0.0,-0.7135298059990649,1.8694482072634784,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.0
control,1.75,1.676163203812269,0.9542260319341132,0.977000841657498,0.959283525765926,0.0,0.0,-0.6947980316042179,0.118570043850041,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,0.0
control,2.0,1.6620238532748877,0.8121490899721172,0.8666849944678257,1.3068886975925096,0.0,0.0,-0.6733639929438159,0.1370226815405685,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,0.0
control,2.25,1.6625205950051565,1.9588662821212943,1.8035220920373327,0.9575775499739442,0.0,1.0,-0.6668297584388027,0.0352781218970916,0.0,0.0,0.0,-1.0,-1.8369701987210294e-16,0.0
control,2.5,1.6694477038595608,2.0056088925903337,1.7212960389581968,1.9322991944608328,0.0,0.0,-0.6930189030798213,-0.1881762112295211,0.0,0.0,0.0,-0.866025403784439,0.4999999999999993,0.0
control,2.75,1.6198259419730907,0.8566253193241459,0.9074641854472516,0.9794559679531452,0.0,0.0,-0.6350319302653522,0.3866274515359839,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,0.0
