anchor_id,condition,phase_time_sec,MR,ENC,CII,artifact,MRED_quadrant,A_MRED_anchor_pass_for_target,claim_level
FOD_BLIND_A1,TARGET_1,26.53,0.0432395008072426,0.6664084708887538,0.0034425734082936,0.0716365089001839,MR_LOW_ENC_HIGH,False,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A1,CONTROL_1,26.53,-0.0055996923806801,0.2711280908795577,0.0003833399750623,0.2009457980529236,MR_LOW_ENC_HIGH,False,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A1,CONTEXTUAL_OVERRIDE_1,26.53,0.92795117316176,0.1654215194016354,0.0685307840710447,0.4987170138408228,MR_HIGH_ENC_LOW,False,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A2,TARGET_1,78.0,-0.14335174679581,-0.3172922897417683,0.0121708246296229,0.061073711868486,MR_LOW_ENC_LOW,False,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A2,CONTROL_1,78.0,-0.041680728856206,0.0136712305190881,0.0,0.3308696607688644,MR_LOW_ENC_LOW,False,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A2,CONTEXTUAL_OVERRIDE_1,78.0,-0.1531714967802626,-0.5997759042599313,0.0,0.437928187662536,MR_LOW_ENC_LOW,False,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A3,TARGET_1,94.0,0.4087826255437179,0.1609227763899477,0.0134434237315026,0.031818134403123,MR_LOW_ENC_LOW,False,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A3,CONTROL_1,94.0,-0.0561197181532774,0.0619741463611277,0.0,0.4598458506151315,MR_LOW_ENC_LOW,False,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A3,CONTEXTUAL_OVERRIDE_1,94.0,-0.0193047230083944,0.1308143657562996,0.0,0.5311890664114655,MR_LOW_ENC_LOW,False,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A4,TARGET_1,100.0,0.3719715663489298,0.6658034893463416,0.0436977064764978,0.2950148861502099,MR_LOW_ENC_HIGH,False,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A4,CONTROL_1,100.0,-0.427585738583928,0.0762894571168551,0.0,0.4962342179956885,MR_LOW_ENC_LOW,False,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A4,CONTEXTUAL_OVERRIDE_1,100.0,0.0175401116488163,0.2487168670030365,0.0,0.5378137905839985,MR_LOW_ENC_LOW,False,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A5,TARGET_1,105.0,0.3669001953842837,0.4087997130283747,0.0395123537155026,0.426331442881134,MR_LOW_ENC_HIGH,False,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A5,CONTROL_1,105.0,-0.4443771418413658,-0.0279833062248261,0.0,0.5091741125452048,MR_LOW_ENC_LOW,False,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A5,CONTEXTUAL_OVERRIDE_1,105.0,-0.1100581124810662,0.2535835445864478,0.0,0.5951623203244055,MR_LOW_ENC_HIGH,False,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A6,TARGET_1,150.0,1.1968629279969627,0.3727679652429264,0.1499695088243297,0.8844833419377598,MR_HIGH_ENC_HIGH,True,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A6,CONTROL_1,150.0,-0.620024204476433,-0.2460403303981538,0.0,0.7105224153860618,MR_LOW_ENC_LOW,False,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A6,CONTEXTUAL_OVERRIDE_1,150.0,-0.1419467352739927,-0.2951063432718227,0.0018846730345792,0.2326584675165971,MR_LOW_ENC_LOW,False,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A7,TARGET_1,165.0,0.5276034480416159,-0.490544149158793,0.1813750264062613,1.282077482635195,MR_HIGH_ENC_LOW,False,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A7,CONTROL_1,165.0,-0.6954568400135392,-0.5617763130604378,0.0,0.6586529497998692,MR_LOW_ENC_LOW,False,runner_registered_estimated_blind_not_frame_verified
FOD_BLIND_A7,CONTEXTUAL_OVERRIDE_1,165.0,-0.0859571545610629,-0.465807894850427,0.0,0.4954722587345251,MR_LOW_ENC_LOW,False,runner_registered_estimated_blind_not_frame_verified
