condition,regressor,dominant_freq_hz,dominant_power,band_power,rhythm_concentration_0_1,cue_frequency_hz,cue_band_power_pm_0_05hz,cue_band_fraction
control,luminance_mean,0.0234375,1250.123213100242,75.90301490778512,0.107580311277285,0.3333333333333333,3.010339019366359,0.0294129615169758
control,visual_change_mean_abs,0.03125,274.2459396063885,36.17337912495838,0.0936766375285215,0.3333333333333333,1.0483275889257857,0.0261667573764685
control,optical_flow_proxy_p90_absdiff,0.046875,1098.102054096836,132.60668200127492,0.1037774379275035,0.3333333333333333,4.201908611229339,0.0280565865174293
control,histogram_delta,0.0234375,0.0172565540341345,0.0029098584493226,0.0282748638725037,0.3333333333333333,0.0001680725241223,0.0544735921608001
control,cut_event,1.859375,0.0236264589588009,0.0125488616796627,0.0194001211713593,0.3333333333333333,0.0006577058606459,0.0441945223375706
control,audio_rms,0.125,0.000399014208265,7.656804336078086e-05,0.0565674490733772,0.3333333333333333,7.899437251580636e-06,0.1116996714813023
control,audio_rms_derivative,0.7734375,9.148415422652636e-05,2.92379861301004e-05,0.0431939775856372,0.3333333333333333,2.0598622652582385e-06,0.0729632404744135
control,cue_impulse,1.0,1.1851503364216738,0.0740741408346741,0.156248018150331,0.3333333333333333,0.0138830228264716,0.1966377923300683
control,cue_on,0.3359375,11.485433831497312,0.2222222144005309,0.5494906002705839,0.3333333333333333,0.1554360241382579,0.6994624267694287
override,luminance_mean,0.0234375,2915.139063459772,176.8295361834544,0.1078275388973747,0.3333333333333333,7.042579230128274,0.0293868647877093
override,visual_change_mean_abs,0.0390625,407.45304771274255,38.429985573809,0.1169477808162156,0.3333333333333333,1.626895195308169,0.0432349308316594
override,optical_flow_proxy_p90_absdiff,0.0390625,4255.332847949911,377.29100816194295,0.126682162533704,0.3333333333333333,14.092930492409716,0.0445271445127312
override,histogram_delta,0.0625,0.0020356826506953,0.0010079281338059,0.0247173660043564,0.3333333333333333,6.736313818112697e-05,0.0541228975865745
override,cut_event,0.9453125,0.0493174249529208,0.0252148680428779,0.0230075228391308,0.3333333333333333,0.0011257153395345,0.0458680733407828
override,audio_rms,0.125,0.0008347489549486,0.0001609975712438,0.0577687065240112,0.3333333333333333,1.7378648985413832e-05,0.1170426657062883
override,audio_rms_derivative,0.7734375,0.0002100877560637,6.375962561064467e-05,0.044762836903233,0.3333333333333333,4.513015108803076e-06,0.0730128389748454
override,cue_impulse,1.0,1.1851503364216738,0.0740741408346741,0.156248018150331,0.3333333333333333,0.0138830228264716,0.1966377923300683
override,cue_on,0.3359375,11.485433831497312,0.2222222144005309,0.5494906002705839,0.3333333333333333,0.1554360241382579,0.6994624267694287
target,luminance_mean,0.0234375,2915.139063459772,176.8295361834544,0.1078275388973747,0.3333333333333333,7.042579230128274,0.0293868647877093
target,visual_change_mean_abs,0.0390625,407.45304771274255,38.429985573809,0.1169477808162156,0.3333333333333333,1.626895195308169,0.0432349308316594
target,optical_flow_proxy_p90_absdiff,0.0390625,4255.332847949911,377.29100816194295,0.126682162533704,0.3333333333333333,14.092930492409716,0.0445271445127312
target,histogram_delta,0.0625,0.0020356826506953,0.0010079281338059,0.0247173660043564,0.3333333333333333,6.736313818112697e-05,0.0541228975865745
target,cut_event,0.9453125,0.0493174249529208,0.0252148680428779,0.0230075228391308,0.3333333333333333,0.0011257153395345,0.0458680733407828
target,audio_rms,0.125,0.0008347489549486,0.0001609975712438,0.0577687065240112,0.3333333333333333,1.7378648985413832e-05,0.1170426657062883
target,audio_rms_derivative,0.7734375,0.0002100877560637,6.375962561064467e-05,0.044762836903233,0.3333333333333333,4.513015108803076e-06,0.0730128389748454
target,cue_impulse,1.0,1.1851503364216738,0.0740741408346741,0.156248018150331,0.3333333333333333,0.0138830228264716,0.1966377923300683
target,cue_on,0.3359375,11.485433831497312,0.2222222144005309,0.5494906002705839,0.3333333333333333,0.1554360241382579,0.6994624267694287
